year,zone,annual_precip_mm,city_std,city_min,city_max
1968,Sahel,581.3666666666667,221.50197139830007,438.2,836.5
1969,Coastal,2824.7000000000003,698.4895203222451,2081.6,3467.8
1969,Guinea Savanna,1425.3666666666668,567.9968691228265,792.8,1891.7
1969,Sahel,661.6333333333333,189.837096831292,502.6,871.8
1970,Coastal,2583.1,555.0052972720171,2000.7,3105.9
1970,Guinea Savanna,1311.2,461.4809530197318,785.0,1647.1
1970,Sahel,541.7333333333333,160.99174927099006,382.9,704.8
1971,Coastal,2821.6,460.0000326086945,2361.7,3281.7
1971,Guinea Savanna,1403.7666666666664,441.1472807729107,908.9,1755.8
1971,Sahel,568.1666666666666,178.06853549499797,391.6,747.7
1972,Coastal,2585.7333333333336,653.9286989675048,1909.9,3215.3
1972,Guinea Savanna,1491.0999999999997,659.3038449758957,833.1,2151.7
1972,Sahel,486.5333333333333,168.6939931750189,355.6,676.9
1973,Coastal,2855.833333333333,641.6783799796696,2204.5,3487.4
1973,Guinea Savanna,1250.7666666666669,443.2879011808617,767.2,1637.9
1973,Sahel,440.7,114.8141106310544,331.1,560.1
1974,Coastal,2744.5,666.9354091664347,2048.3,3377.7
1974,Guinea Savanna,1291.4333333333334,513.9922405380586,749.8,1772.4
1974,Sahel,618.8333333333334,173.33716662427975,418.7,721.3
1975,Coastal,2572.6666666666665,563.1589858408844,1995.0,3120.1
1975,Guinea Savanna,1379.7333333333336,430.763245104934,919.6,1773.4
1975,Sahel,680.5666666666667,214.09820955190943,499.8,917.0
1976,Coastal,2755.6,789.2324815920847,1944.1,3520.5
1976,Guinea Savanna,1433.6333333333332,606.5749445314514,798.2,2006.5
1976,Sahel,532.4,171.21585791041667,432.6,730.1
1977,Coastal,2294.233333333333,608.8196476242643,1668.0,2884.0
1977,Guinea Savanna,1077.1,436.6558255651697,616.2,1484.6
1977,Sahel,587.6999999999999,109.82882135395973,493.0,708.1
1978,Coastal,2590.9666666666667,642.572239778014,1901.3,3172.8
1978,Guinea Savanna,1600.8666666666668,706.3397647968953,818.6,2191.9
1978,Sahel,615.6666666666666,176.95695333423134,464.7,810.4
1979,Coastal,2798.5333333333333,570.8103917531051,2214.3,3354.9
1979,Guinea Savanna,1414.9,509.0600259301451,864.0,1867.9
1979,Sahel,583.9666666666667,113.02461383846146,511.5,714.2
1980,Coastal,3098.6,538.6884349974482,2579.2,3654.7
1980,Guinea Savanna,1465.6,427.79976624584543,975.6,1764.8
1980,Sahel,568.3000000000001,209.9292261692021,445.7,810.7
1981,Coastal,2539.0333333333333,635.4322492078392,1933.7,3200.8
1981,Guinea Savanna,1332.6,538.7535707538281,785.5,1862.6
1981,Sahel,579.1666666666666,185.08631319828413,392.0,762.1
1982,Coastal,2453.1666666666665,868.969264895677,1530.5,3256.0
1982,Guinea Savanna,1426.2666666666669,578.6661933561812,773.0,1874.5
1982,Sahel,435.1333333333334,110.29326059797728,323.1,543.6
1983,Coastal,2158.9666666666667,799.8650532016844,1321.5,2915.0
1983,Guinea Savanna,1062.3666666666666,403.0059097995131,633.1,1432.6
1983,Sahel,354.5,122.61859565335104,251.9,490.3
1984,Coastal,2385.8,741.4359244061484,1550.7,2966.7
1984,Guinea Savanna,1404.2,646.9413651947137,718.6,2003.9
1984,Sahel,354.6333333333334,106.53226428333028,250.6,463.5
1985,Coastal,2763.6666666666665,834.9785885478341,1826.4,3428.1
1985,Guinea Savanna,1305.4333333333334,362.68843837835993,901.4,1602.9
1985,Sahel,511.3,149.16759031371396,348.1,640.6
1986,Coastal,2530.9,862.3483576838306,1549.7,3168.4
1986,Guinea Savanna,1282.0333333333333,481.53145622413217,734.2,1638.3
1986,Sahel,509.06666666666666,162.82709643463318,358.7,682.0
1987,Coastal,2551.8,641.1566033349419,1821.1,3020.3
1987,Guinea Savanna,1331.4333333333334,528.6816654030414,747.0,1776.4
1987,Sahel,449.1,162.49759998227665,310.2,627.8
1988,Coastal,2782.0333333333333,609.246750777822,2155.6,3372.5
1988,Guinea Savanna,1431.3,439.11653350790607,930.1,1748.4
1988,Sahel,645.6333333333333,70.09681400273003,602.2,726.5
1989,Coastal,2457.6666666666665,552.6649286261372,1842.7,2912.8
1989,Guinea Savanna,1314.2333333333331,499.0881819211243,847.7,1840.5
1989,Sahel,505.6,104.87339986860344,397.0,606.3
1990,Coastal,2570.333333333333,906.8022625320988,1595.0,3387.9
1990,Guinea Savanna,1262.9,468.8274842626017,765.4,1696.5
1990,Sahel,392.1000000000001,190.62730654342255,237.8,605.2
1991,Coastal,2518.1666666666665,679.8188165484487,1790.8,3137.5
1991,Guinea Savanna,1420.9333333333334,449.48855751101536,919.8,1788.5
1991,Sahel,549.4666666666667,204.0785714702388,417.2,784.5
1992,Coastal,2359.3,836.803417775047,1507.9,3180.7
1992,Guinea Savanna,1340.9333333333334,466.4706028608162,864.1,1796.3
1992,Sahel,564.4666666666667,208.49226204666047,347.5,763.3
1993,Coastal,2529.233333333333,868.1541932936415,1588.0,3298.6
1993,Guinea Savanna,1387.9,600.9143366570645,741.7,1929.9
1993,Sahel,375.76666666666665,203.8760979941821,227.2,608.2
1994,Coastal,2382.5333333333333,819.0508551569513,1562.8,3200.9
1994,Guinea Savanna,1469.8,541.1191735653063,845.2,1796.8
1994,Sahel,623.9666666666667,131.04435635819397,474.1,717.0
1995,Coastal,2692.0666666666666,878.9711390787147,1799.7,3557.0
1995,Guinea Savanna,1420.6333333333332,481.2893239345055,870.9,1766.1
1995,Sahel,470.2333333333333,177.46842911721885,287.4,641.8
1996,Coastal,2478.7333333333336,484.1386819221672,1991.1,2959.3
1996,Guinea Savanna,1385.6333333333332,493.6841129035178,851.4,1825.0
1996,Sahel,423.2,113.47528365243244,296.4,515.2
1997,Coastal,2400.1666666666665,772.2498580986166,1569.6,3096.5
1997,Guinea Savanna,1449.4,569.5166986138333,809.7,1901.3
1997,Sahel,423.6333333333334,144.39703367220997,289.1,576.2
1998,Coastal,2158.8,684.1463951523826,1447.5,2812.1
1998,Guinea Savanna,1376.1333333333332,454.71070290167273,854.0,1685.1
1998,Sahel,592.1333333333333,151.95714308097965,483.6,765.8
1999,Coastal,2671.4333333333334,683.3954662809326,1956.0,3317.5
1999,Guinea Savanna,1365.7333333333331,411.1311753362098,913.9,1717.8
1999,Sahel,586.3000000000001,164.7162104955065,429.2,757.7
2000,Coastal,2326.133333333333,652.4289412137796,1637.0,2934.3
2000,Guinea Savanna,1331.5,419.8475556675304,877.8,1706.3
2000,Sahel,431.3,130.6762411458181,311.9,570.9
2001,Coastal,2191.4333333333334,665.6997546441887,1464.2,2770.7
2001,Guinea Savanna,1158.9,568.9661940748325,579.3,1716.6
2001,Sahel,482.6333333333334,215.7146340268396,328.2,729.1
2002,Coastal,2591.9,845.5848685968783,1668.7,3328.8
2002,Guinea Savanna,1362.5666666666666,424.0668147041611,931.8,1779.6
2002,Sahel,413.6,100.84423632513656,301.0,495.6
2003,Coastal,2336.3,711.5500474316617,1533.0,2887.4
2003,Guinea Savanna,1154.8333333333333,427.0443809878937,722.7,1576.6
2003,Sahel,496.0,220.3814647378495,340.5,748.2
2004,Coastal,2413.5333333333333,786.35319248626,1548.1,3084.2
2004,Guinea Savanna,1240.9,566.3956567630088,616.1,1720.7
2004,Sahel,386.3666666666666,111.5330145442744,315.1,514.9
2005,Coastal,2296.333333333333,797.8702672322947,1436.1,3012.1
2005,Guinea Savanna,1143.6,430.1377337551311,665.0,1497.9
2005,Sahel,463.6666666666667,130.48656380383895,335.0,595.9
2006,Coastal,2445.5,584.2251620736649,1809.5,2958.3
2006,Guinea Savanna,1232.5,463.5280034690461,726.5,1636.6
2006,Sahel,387.6000000000001,171.29538814574082,270.5,584.2
2007,Coastal,2752.633333333333,844.9368990246154,1854.4,3531.6
2007,Guinea Savanna,1144.9,282.8958819071073,833.7,1386.5
2007,Sahel,449.0333333333333,73.84106806739277,370.4,516.9
2008,Coastal,2432.3,815.5287058099179,1597.6,3227.2
2008,Guinea Savanna,1266.0666666666666,464.2986790131255,808.7,1737.0
2008,Sahel,499.4333333333333,128.721883661378,368.3,625.6
2009,Coastal,2657.766666666667,1012.271714182182,1508.4,3416.6
2009,Guinea Savanna,1258.3,596.3357359742915,588.9,1732.8
2009,Sahel,398.6333333333334,132.77139501162642,318.8,551.9
2010,Coastal,2496.1,798.7535039046777,1590.7,3101.1
2010,Guinea Savanna,1303.9333333333332,470.3515529190197,818.1,1757.1
2010,Sahel,600.1,92.08778420615847,536.5,705.7
2011,Coastal,2397.866666666667,856.1761578865259,1488.6,3188.6
2011,Guinea Savanna,1105.5666666666666,420.8258824422915,663.2,1500.9
2011,Sahel,464.7,267.65483369444314,252.2,765.3
2012,Coastal,2372.9,527.5655693845081,1831.8,2885.8
2012,Guinea Savanna,1453.8666666666668,482.5096303011301,905.2,1812.1
2012,Sahel,587.1,192.16407052308196,426.5,800.0
2013,Coastal,2502.3,1126.1403820128287,1272.3,3482.7
2013,Guinea Savanna,1264.0666666666666,522.7848920285793,669.9,1653.5
2013,Sahel,512.0,101.14776319820427,429.1,624.7
2014,Coastal,2557.2000000000003,686.7719563290278,1827.4,3190.8
2014,Guinea Savanna,1353.2666666666669,428.6588542574775,864.0,1662.8
2014,Sahel,507.1,190.0028420840067,383.7,725.9
2015,Coastal,2420.233333333333,918.7217551213932,1455.7,3285.0
2015,Guinea Savanna,1078.7,336.5532201599028,700.0,1343.6
2015,Sahel,503.1666666666667,130.9021517521134,425.5,654.3
2016,Coastal,2767.4666666666667,1024.4264850799852,1714.8,3761.1
2016,Guinea Savanna,1429.6333333333332,345.48379605031164,1049.5,1724.5
2016,Sahel,547.0666666666667,75.3166869513877,460.1,591.0
2017,Coastal,2054.5,629.7351586182878,1361.8,2592.4
2017,Guinea Savanna,783.8333333333334,166.69401109018082,633.5,963.1
2017,Sahel,444.06666666666666,39.71074581688608,398.9,473.5
2018,Coastal,2080.633333333333,770.1463843538663,1192.7,2567.1
2018,Guinea Savanna,1015.1,162.9236937955925,847.0,1172.3
2018,Sahel,464.9333333333333,50.906810284414135,427.5,522.9
2019,Coastal,2622.5333333333333,1119.5613084299284,1452.9,3684.2
2019,Guinea Savanna,1148.8666666666666,141.14589378842493,1000.1,1280.9
2019,Sahel,476.6,121.1678175094361,338.4,564.6
2020,Coastal,1941.1333333333328,656.1985776678683,1186.0,2372.8
2020,Guinea Savanna,775.8666666666667,229.5538571519401,511.0,917.2
2020,Sahel,473.8999999999999,86.20046403587396,419.7,573.3
2021,Coastal,2113.3,782.5676456383818,1216.1,2655.1
2021,Guinea Savanna,674.9333333333334,207.173703286236,438.5,824.7
2021,Sahel,275.96666666666664,107.09422642389892,158.1,367.3
2022,Coastal,1812.2333333333331,523.2265315648025,1213.0,2178.6
2022,Guinea Savanna,1005.2666666666668,130.85412998195108,860.0,1113.9
2022,Sahel,634.6333333333333,119.5387942608312,534.8,767.1
2023,Coastal,2164.766666666667,567.9296288567215,1519.8,2590.0
2023,Guinea Savanna,810.2666666666668,145.76338131826293,646.5,925.8
2023,Sahel,482.1666666666667,135.78683048563042,353.1,623.8
